CustomerKey,GeographyKey,FirstName,LastName,fullName,BirthDate,MaritalStatus,Gender,EmailAddress,EnglishEducation,EnglishOccupation,AddressLine1,Phone,DateFirstPurchase,customer city
11000,26,Jon,Yang,Jon Yang,1971-10-06,M,Male,jon24@adventure-works.com,Bachelors,Professional,3761 N. 14th St,1 (11) 500 555-0162,2019-01-19,Rockhampton
11001,37,Eugene,Huang,Eugene Huang,1976-05-10,S,Male,eugene10@adventure-works.com,Bachelors,Professional,2243 W St.,1 (11) 500 555-0110,2019-01-15,Seaford
11002,31,Ruben,Torres,Ruben Torres,1971-02-09,M,Male,ruben35@adventure-works.com,Bachelors,Professional,5844 Linden Land,1 (11) 500 555-0184,2019-01-07,Hobart
11003,11,Christy,Zhu,Christy Zhu,1973-08-14,S,Female,christy12@adventure-works.com,Bachelors,Professional,1825 Village Pl.,1 (11) 500 555-0162,2018-12-29,North Ryde
11004,19,Elizabeth,Johnson,Elizabeth Johnson,1979-08-05,S,Female,elizabeth5@adventure-works.com,Bachelors,Professional,7553 Harness Circle,1 (11) 500 555-0131,2019-01-23,Wollongong
11005,22,Julio,Ruiz,Julio Ruiz,1976-08-01,S,Male,julio1@adventure-works.com,Bachelors,Professional,7305 Humphrey Drive,1 (11) 500 555-0151,2018-12-30,East Brisbane
11006,8,Janet,Alvarez,Janet Alvarez,1976-12-02,S,Female,janet9@adventure-works.com,Bachelors,Professional,2612 Berry Dr,1 (11) 500 555-0184,2019-01-24,Matraville
11007,40,Marco,Mehta,Marco Mehta,1969-11-06,M,Male,marco14@adventure-works.com,Bachelors,Professional,942 Brook Street,1 (11) 500 555-0126,2019-01-09,Warrnambool
11008,32,Rob,Verhoff,Rob Verhoff,1975-07-04,S,Female,rob4@adventure-works.com,Bachelors,Professional,624 Peabody Road,1 (11) 500 555-0164,2019-01-25,Bendigo
11009,25,Shannon,Carlson,Shannon Carlson,1969-09-29,S,Male,shannon38@adventure-works.com,Bachelors,Professional,3839 Northgate Road,1 (11) 500 555-0110,2019-01-27,Hervey Bay
11010,22,Jacquelyn,Suarez,Jacquelyn Suarez,1969-08-05,S,Female,jacquelyn20@adventure-works.com,Bachelors,Professional,7800 Corrinne Court,1 (11) 500 555-0169,2019-01-14,East Brisbane
